지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
경기 동두천,2,0,2,12,2,34,2,8,329,104,331,1,37,1,30,16,154,1,0,0,0,37,0,660,90,7,18,11,99,17,9,6,764,2,0,7,58,398
경기 부천,4,8,20,83,16,298,5,26,3715,470,2859,18,330,4,175,99,1181,2,2,5,16,116,0,5505,1276,48,417,97,1019,59,152,44,6974,31,0,8,291,3867
경기 성남,7,10,16,99,15,319,4,17,3126,606,3007,15,375,3,158,61,1002,7,7,3,35,161,0,4114,1069,67,311,78,1021,70,196,13,7592,11,3,25,246,3220
경기 수원,7,9,20,136,20,399,11,35,5381,683,4658,33,551,4,263,125,1754,13,11,4,26,213,5,6813,1570,68,487,126,1311,98,355,35,11159,39,1,24,354,5322
경기 시흥,2,7,10,48,4,167,2,14,1714,286,1551,7,201,3,76,39,685,14,3,3,8,89,2,2598,508,30,129,35,494,68,80,27,6327,34,1,15,185,1802
경기 안산,2,6,10,85,16,281,6,21,3025,424,2664,24,397,0,198,47,1037,8,9,0,12,154,4,3918,955,61,309,71,763,94,148,15,7238,7,2,10,241,3260
경기 안성,0,3,3,22,1,48,1,5,620,160,628,6,52,0,19,11,253,5,3,0,6,31,0,903,171,21,24,15,131,28,50,7,2160,2,0,12,100,1006
경기 안양,2,4,3,77,2,174,3,12,1662,345,1877,15,226,3,90,37,652,2,2,1,28,104,2,2619,838,39,205,44,585,90,96,5,3348,39,1,23,139,1955
경기 양주,0,3,0,17,3,50,2,10,475,146,797,4,83,1,24,13,259,2,0,0,3,55,0,1030,164,14,50,16,187,22,42,71,2161,1,0,3,115,903
경기 여주,2,3,0,11,0,44,1,5,414,89,337,5,56,0,19,8,127,6,2,1,3,21,1,542,90,11,30,6,84,13,14,7,1061,2,0,6,27,456
경기 오산,1,4,9,21,3,53,1,5,870,174,896,5,108,2,66,9,291,1,2,0,1,37,1,920,249,12,57,22,256,6,38,22,2213,1,0,7,85,954
경기 용인,5,7,1,52,14,197,3,23,2201,313,1919,20,245,5,74,40,725,3,4,3,21,140,2,3224,877,77,161,77,618,64,132,84,6283,13,0,11,194,2641
경기 의왕,0,2,2,13,0,23,1,1,216,49,280,2,39,0,12,5,113,1,3,1,2,17,0,556,96,11,23,24,112,10,7,1,1185,0,0,19,52,343
경기 의정부,1,8,10,41,5,167,4,19,1723,238,2134,23,202,1,79,23,596,6,2,1,8,106,1,2290,663,21,124,80,510,63,80,10,3052,6,0,11,241,1798
경기 이천,1,1,0,23,0,73,4,8,781,212,892,9,105,1,63,15,318,0,2,0,6,41,1,963,214,22,241,23,290,36,59,35,2307,16,0,21,90,932
경기 파주,2,7,5,31,1,102,3,11,1112,320,1025,15,144,2,55,40,503,1,3,1,9,79,2,2296,384,39,84,43,495,43,58,89,3641,6,1,12,181,1552
경기 평택,4,5,14,54,7,157,2,25,2060,591,2182,16,273,4,124,28,901,7,3,2,14,285,0,3686,594,75,172,58,1602,104,99,90,5936,12,0,11,135,3297
경기 포천,2,2,6,22,2,42,1,12,563,145,518,3,44,0,47,16,214,5,2,2,4,34,0,971,135,17,29,16,202,42,13,114,2250,10,0,8,85,765
경기 하남,3,1,0,8,0,44,0,4,546,118,500,7,55,0,27,8,229,1,2,0,6,18,0,634,192,9,33,12,156,9,34,20,1934,1,0,0,64,707
경기 화성,6,10,5,27,7,143,0,14,1935,427,1896,11,218,0,117,70,720,6,7,3,8,92,2,2904,600,46,123,36,603,58,186,272,5762,19,0,11,166,2619
강원 강릉,2,0,3,27,4,94,1,7,658,241,834,3,64,0,40,12,333,2,1,0,0,40,0,904,132,7,28,8,152,4,39,10,1733,0,0,16,50,801
강원 동해,1,0,0,11,1,32,0,1,168,150,271,1,36,0,29,3,119,0,2,0,0,24,0,287,25,9,8,15,59,2,13,16,617,647,1,3,34,1281
강원 삼척,1,1,2,5,1,11,2,3,224,106,287,1,29,1,14,9,91,0,0,0,0,10,0,291,39,4,9,5,57,4,17,17,533,2,0,4,7,409
